"","LABID","new.fname","Sample","well","plate"
"1211","z0146094","z0146094_Mnov_GTseek_028_059_PLT_8_R1.fastq","GTseek_028_384i5_059_PLT_8_146094_R1.fastq","059","8"
"1212","z0146094","z0146094_Mnov_GTseek_028_059_PLT_8_R2.fastq","GTseek_028_384i5_059_PLT_8_146094_R2.fastq","059","8"
"1213","z0174005","z0174005_Mnov_GTseek_028_061_PLT_8_R1.fastq","GTseek_028_384i5_061_PLT_8_174005_R1.fastq","061","8"
"1214","z0174005","z0174005_Mnov_GTseek_028_061_PLT_8_R2.fastq","GTseek_028_384i5_061_PLT_8_174005_R2.fastq","061","8"
"1215","z0175351","z0175351_Mnov_GTseek_028_063_PLT_8_R1.fastq","GTseek_028_384i5_063_PLT_8_175351_R1.fastq","063","8"
"1216","z0175351","z0175351_Mnov_GTseek_028_063_PLT_8_R2.fastq","GTseek_028_384i5_063_PLT_8_175351_R2.fastq","063","8"
"1217","z0175354","z0175354_Mnov_GTseek_028_065_PLT_8_R1.fastq","GTseek_028_384i5_065_PLT_8_175354_R1.fastq","065","8"
"1218","z0175354","z0175354_Mnov_GTseek_028_065_PLT_8_R2.fastq","GTseek_028_384i5_065_PLT_8_175354_R2.fastq","065","8"
"1219","z0175377","z0175377_Mnov_GTseek_028_067_PLT_8_R1.fastq","GTseek_028_384i5_067_PLT_8_175377_R1.fastq","067","8"
"1220","z0175377","z0175377_Mnov_GTseek_028_067_PLT_8_R2.fastq","GTseek_028_384i5_067_PLT_8_175377_R2.fastq","067","8"
"1221","z0175378","z0175378_Mnov_GTseek_028_069_PLT_8_R1.fastq","GTseek_028_384i5_069_PLT_8_175378_R1.fastq","069","8"
"1222","z0175378","z0175378_Mnov_GTseek_028_069_PLT_8_R2.fastq","GTseek_028_384i5_069_PLT_8_175378_R2.fastq","069","8"
"1223","z0175381","z0175381_Mnov_GTseek_028_071_PLT_8_R1.fastq","GTseek_028_384i5_071_PLT_8_175381_R1.fastq","071","8"
"1224","z0175381","z0175381_Mnov_GTseek_028_071_PLT_8_R2.fastq","GTseek_028_384i5_071_PLT_8_175381_R2.fastq","071","8"
"1225","z0175912","z0175912_Mnov_GTseek_028_073_PLT_8_R1.fastq","GTseek_028_384i5_073_PLT_8_175912_R1.fastq","073","8"
"1226","z0175912","z0175912_Mnov_GTseek_028_073_PLT_8_R2.fastq","GTseek_028_384i5_073_PLT_8_175912_R2.fastq","073","8"
"1227","z0175914","z0175914_Mnov_GTseek_028_075_PLT_8_R1.fastq","GTseek_028_384i5_075_PLT_8_175914_R1.fastq","075","8"
"1228","z0175914","z0175914_Mnov_GTseek_028_075_PLT_8_R2.fastq","GTseek_028_384i5_075_PLT_8_175914_R2.fastq","075","8"
"1229","z0175915","z0175915_Mnov_GTseek_028_077_PLT_8_R1.fastq","GTseek_028_384i5_077_PLT_8_175915_R1.fastq","077","8"
