Sample,Reverse reads with adapter,Total reads for sample,run.name,Proportion with adapter
z0041174_Mnov_GTseek_029_015_PLT_9_R1.fastq.gz,438,1469,Prod,0.298162015
z0029860_Mnov_GTseek_022_012_PLT_2_R1.fastq.gz,6384,21002,Prod,0.30397105
z0041519_Mnov_GTseek_026_093_PLT_6_R1.fastq.gz,25078,82373,Prod,0.304444417
z0041494_Mnov_GTseek_026_181_PLT_6_R1.fastq.gz,19276,63247,Prod,0.304773349
z0041522_Mnov_GTseek_026_097_PLT_6_R1.fastq.gz,944,3056,Prod,0.308900524
z0043267_Mnov_GTseek_026_105_PLT_6_R1.fastq.gz,1189,3847,Prod,0.309072004
z0041274_Mnov_GTseek_029_017_PLT_9_R1.fastq.gz,5501,17744,Prod,0.310020289
z0029866_Mnov_GTseek_022_020_PLT_2_R1.fastq.gz,9276,28965,Prod,0.320248576
z0025439_Mnov_GTseek_028_131_PLT_8_R1.fastq.gz,54495,169966,Prod,0.320622948
z0041526_Mnov_GTseek_026_099_PLT_6_R1.fastq.gz,1328,4141,Prod,0.320695484
z0017317_Mnov_GTseek_028_129_PLT_8_R1.fastq.gz,65021,202216,Prod,0.321542311
z0043243_Mnov_GTseek_026_103_PLT_6_R1.fastq.gz,1412,4283,Prod,0.329675461
z0040387_Mnov_GTseek_029_005_PLT_9_R1.fastq.gz,7310,22004,Prod,0.332212325
z0030424_Mnov_GTseek_029_191_PLT_9_R1.fastq.gz,6271,18778,Prod,0.333954628
z0029864_Mnov_GTseek_026_039_PLT_6_R1.fastq.gz,33422,99648,Prod,0.33540061
z0011162_Mnov_GTseek_028_133_PLT_8_R1.fastq.gz,70412,207656,Prod,0.339080017
z0029865_Mnov_GTseek_022_018_PLT_2_R1.fastq.gz,61,178,Prod,0.342696629
z0029828_Mnov_GTseek_026_035_PLT_6_R1.fastq.gz,5056,14732,Prod,0.34319848
z0040308_Mnov_GTseek_029_001_PLT_9_R1.fastq.gz,11676,33612,Prod,0.347375937
z0041243_Mnov_GTseek_026_067_PLT_6_R1.fastq.gz,14155,40726,Prod,0.347566665
z0042288_Mnov_GTseek_028_135_PLT_8_R1.fastq.gz,52209,150031,Prod,0.347988082
z0037624_Mnov_GTseek_022_030_PLT_2_R1.fastq.gz,54998,157329,Prod,0.349573187
