LABID,Raw.Reads,On.Target.Reads,dupe,success,,,,,
175912,8435,74,1,FALSE,,,,,
53843,9950,74,1,FALSE,,,,,
61971,1830,74,1,FALSE,,,,,
195657,6350,75,1,FALSE,,,,,
187857,4884,75,1,FALSE,,,,,
107055,13927,76,1,FALSE,,,,,
37610,6040,77,1,FALSE,,,,,
55945,3150,78,1,FALSE,,,,,
195675,10817,78,1,FALSE,,,,,
55884,10752,79,1,FALSE,,,,,
133302,20010,79,1,FALSE,,,,,
207778,4473,80,1,FALSE,,,,,
178305,5972,80,1,FALSE,,,,,
56020,12766,81,1,FALSE,,,,,
29866,45060,83,2,FALSE,,,,,
175915,4444,84,1,FALSE,,,,,
195673,14958,84,1,FALSE,,,,,
175916,989,85,1,FALSE,,,,,
43724,657,87,1,FALSE,,,,,
195664,10099,88,1,FALSE,,,,,
37609,57357,88,1,FALSE,,,,,
195781,225591,90,1,FALSE,,,,,
41526,4141,92,1,FALSE,,,,,
43599,10073,93,1,FALSE,,,,,
145207,1462,94,1,FALSE,,,,,
207765,1263,94,1,FALSE,,,,,
175930,2450,96,1,FALSE,,,,,
56380,1484,97,1,FALSE,,,,,
207776,1231,98,1,FALSE,,,,,
40363,78104,98,1,FALSE,,,,,
195651,2512,100,1,FALSE,,,,,
195753,5577,101,2,FALSE,,,,,
56072,10021,102,1,FALSE,,,,,
174005,4279,103,1,FALSE,,,,,
55896,5921,104,1,FALSE,,,,,
43489,6938,104,1,FALSE,,,,,
113628,1314,105,1,FALSE,,,,,
41174,1469,108,1,FALSE,,,,,
43904,7114,110,1,FALSE,,,,,
195678,14100,112,1,FALSE,,,,,
195772,25401,113,1,FALSE,,,,,
41522,3056,114,1,FALSE,,,,,
45736,47543,116,1,FALSE,,,,,
108508,17592,117,1,FALSE,,,,,
56397,2245,119,1,FALSE,,,,,
187837,2521,119,1,FALSE,,,,,
195645,7524,121,1,FALSE,,,,,
195677,16433,124,2,FALSE,,,,,
195656,10175,126,1,FALSE,,,,,
45398,200802,126,2,FALSE,,,,,
53038,5183,127,1,FALSE,,,,,
196804,4142,127,1,FALSE,,,,,
175377,16701,127,1,FALSE,,,,,
195758,4769,128,1,FALSE,,,,,
43674,3982,128,1,FALSE,,,,,
56102,9757,129,1,FALSE,,,,,
195783,71525,131,1,FALSE,,,,,
43243,4283,131,1,FALSE,,,,,
56070,637,133,1,FALSE,,,,,
56384,5730,134,1,FALSE,,,,,
43666,3057,134,1,FALSE,,,,,
175928,16173,135,1,FALSE,,,,,
43475,2982,135,1,FALSE,,,,,
197660,9159,137,1,FALSE,,,,,
43464,8439,137,1,FALSE,,,,,
61973,35519,138,1,FALSE,,,,,
195763,4417,139,1,FALSE,,,,,
178348,1727,140,1,FALSE,,,,,
195669,13079,142,1,FALSE,,,,,
43493,3198,146,1,FALSE,,,,,
43934,24125,148,1,FALSE,,,,,
195779,119879,152,1,FALSE,,,,,
52882,9270,159,1,FALSE,,,,,
53754,1126,161,1,FALSE,,,,,
56083,3783,165,1,FALSE,,,,,
195766,11171,167,1,FALSE,,,,,
40513,3881,168,1,FALSE,,,,,
195684,54120,169,1,FALSE,,,,,
53132,21871,180,1,FALSE,,,,,
61982,3716,181,1,FALSE,,,,,
195680,11239,183,1,FALSE,,,,,
51959,30365,186,1,FALSE,,,,,
56374,1760,188,1,FALSE,,,,,
195694,16135,196,1,FALSE,,,,,
187811,8772,199,2,FALSE,,,,,
195780,182792,200,2,FALSE,,,,,
56012,44629,200,1,FALSE,,,,,
43488,11617,204,1,FALSE,,,,,
43765,61374,205,1,FALSE,,,,,
56010,28666,206,1,FALSE,,,,,
175914,6358,218,2,FALSE,,,,,
160234,47980,219,1,FALSE,,,,,
195686,3634,220,1,FALSE,,,,,
195643,11251,224,1,FALSE,,,,,
56106,7021,235,2,FALSE,,,,,
44059,22424,237,1,FALSE,,,,,
45404,50811,241,1,FALSE,,,,,
195706,27596,248,1,FALSE,,,,,
56090,22996,255,1,FALSE,,,,,
175927,18887,258,1,FALSE,,,,,
195653,22623,264,1,FALSE,,,,,
56111,6167,270,1,FALSE,,,,,
