,LABID,Sample,Raw.Reads,On.Target.Reads,Pct.On.Target,Pct.GT,IFI,new.fnames
453,45776,GTseek_027_384i5_099_PLT_7_45776,71917,11559,16.07,53.65,0.31,z0045776_Mnov_GTseek_027_099_PLT_7.fastq
591,196772,GTseek_025_384i5_257_PLT_5_196772,59994,11636,19.4,74.74,0.78,z0196772_Mnov_GTseek_025_257_PLT_5.fastq
891,196843,GTseek_030_384i5_365_Mnov_G11_pasted,85343,11787,13.81,63.45,0.56,z0196843_Mnov_GTseek_030_365_POS_G11.fastq
495,196737,GTseek_025_384i5_199_PLT_5_196737,29565,11918,40.31,61.46,0.34,z0196737_Mnov_GTseek_025_199_PLT_5.fastq
1810,51840,GTseek_030_384i5_227_Mnov_B03_pasted,86052,12000,13.95,65.98,0.34,z0051840_Mnov_GTseek_030_227_POS_B03.fastq
3810,53142,GTseek_030_384i5_265_Mnov_E05_pasted,84163,12003,14.26,64.83,0.73,z0053142_Mnov_GTseek_030_265_POS_E05.fastq
881,196838,GTseek_030_384i5_363_Mnov_F11_pasted,82478,12210,14.8,60.92,0.47,z0196838_Mnov_GTseek_030_363_POS_F11.fastq
901,196849,GTseek_030_384i5_367_Mnov_H11_pasted,73301,12236,16.69,66.9,0.79,z0196849_Mnov_GTseek_030_367_POS_H11.fastq
525,56386,GTseek_022_384i5_104_PLT_2_56386,41122,12312,29.94,66.93,0.71,z0056386_Mnov_GTseek_022_104_PLT_2.fastq
519,196826,GTseek_025_384i5_297_PLT_5_196826,34066,12359,36.28,65.89,1.39,z0196826_Mnov_GTseek_025_297_PLT_5.fastq
494,40413,GTseek_026_384i5_049_PLT_6_40413,28921,12365,42.75,61.2,0.56,z0040413_Mnov_GTseek_026_049_PLT_6.fastq
460,108513,GTseek_022_384i5_126_PLT_2_108513,152663,12425,8.14,55.73,0.53,z0108513_Mnov_GTseek_022_126_PLT_2.fastq
520,173485,GTseek_023_384i5_176_PLT_3_173485,35463,12501,35.25,66.15,1.18,z0173485_Mnov_GTseek_023_176_PLT_3.fastq
487,45352,GTseek_022_384i5_038_PLT_2_45352,20992,12531,59.69,60.42,0.82,z0045352_Mnov_GTseek_022_038_PLT_2.fastq
614,196800,GTseek_025_384i5_275_PLT_5_196800,46878,12756,27.21,77.08,0.94,z0196800_Mnov_GTseek_025_275_PLT_5.fastq
554,45788,GTseek_027_384i5_183_PLT_7_45788,258775,12776,4.94,70.83,0.16,z0045788_Mnov_GTseek_027_183_PLT_7.fastq
521,196756,GTseek_025_384i5_231_PLT_5_196756,44032,12782,29.03,66.15,1,z0196756_Mnov_GTseek_025_231_PLT_5.fastq
507,196865,GTseek_025_384i5_349_PLT_5_196865,35690,12834,35.96,64.32,0.89,z0196865_Mnov_GTseek_025_349_PLT_5.fastq
529,37624,GTseek_022_384i5_030_PLT_2_37624,157329,12997,8.26,67.97,0.58,z0037624_Mnov_GTseek_022_030_PLT_2.fastq
